"Story","Title","Result","Date","Stability","Duration (s)"
"Spartan user role test","Test {1}  ","SUCCESS","2021-04-16T09:40:26.557-05:00[America/Chicago]","0.0","0.64"
"Spartan user role test","Test {2}  ","SUCCESS","2021-04-16T09:40:27.199-05:00[America/Chicago]","0.0","0.56"
"Spartan user role test","Test {3}  ","SUCCESS","2021-04-16T09:40:27.756-05:00[America/Chicago]","0.0","0.38"
"Spartan user role test","Test {4}  ","SUCCESS","2021-04-16T09:40:28.142-05:00[America/Chicago]","0.0","0.47"
"Spartan user role test","Test {5}  ","SUCCESS","2021-04-16T09:40:28.614-05:00[America/Chicago]","0.0","0.4"
"Spartan user role test","Test {6}  ","SUCCESS","2021-04-16T09:40:29.017-05:00[America/Chicago]","0.0","0.48"
